Category,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total
Operating Expenses,Simplification,"Executive and legislative organs, financ",General property and records management (804),Operating Expenses,0.333,b,,,,0.333
Salaries and Expenses,Simplification,"Executive and legislative organs, financ",Central personnel management (805),Salaries and Expenses,0.1,b,,,,0.1
Payment to Civil Service Retirement and Disability Fund,Simplification,"Executive and legislative organs, financ",Central personnel management (805),Payment to Civil Service Retirement and Disability Fund,31.838,b,,,,31.838
General Fund Payment to the Civil Service Retirement and Disability Fund,Simplification,"Executive and legislative organs, financ",Central personnel management (805),General Fund Payment to the Civil Service Retirement and Disability Fund,31.838,b,,,,31.838
Current Operations  Financial Administration (E23),Simplification,"Executive and legislative organs, financ",Current Operations  Financial Administration (E23),,0,g,0,23.1,18.4,41.5
Current Operations  State Legislative Services (E26),Simplification,"Executive and legislative organs, financ",Current Operations  State Legislative Services (E26),,0,g,0,3,0,3
Current Operations  Central Staff Services (E29),Simplification,"Executive and legislative organs, financ",Current Operations  Central Staff Services (E29),,0,g,0,2,23.5,25.5
Current Operations  General Public Buildings (E31),Simplification,"Executive and legislative organs, financ",Current Operations  General Public Buildings (E31),,0,g,0,1.4,6.7,8.1
Construction  Financial Administration (F23),Simplification,"Executive and legislative organs, financ",Construction  Financial Administration (F23),,0,g,0,0.1,0.2,0.3
Construction  State Legislative Services (F26),Simplification,"Executive and legislative organs, financ",Construction  State Legislative Services (F26),,0,g,0,0,0,0
Construction  Central Staff Services (F29),Simplification,"Executive and legislative organs, financ",Construction  Central Staff Services (F29),,0,g,0,0,1.1,1.1
Construction  General Public Buildings (F31),Simplification,"Executive and legislative organs, financ",Construction  General Public Buildings (F31),,0,g,0,1.5,2.1,3.6
Other Capital Outlay  Financial Administration (G23),Simplification,"Executive and legislative organs, financ",Other Capital Outlay  Financial Administration (G23),,0,g,0,0.3,0.5,0.8
Other Capital Outlay  State Legislative Services (G26),Simplification,"Executive and legislative organs, financ",Other Capital Outlay  State Legislative Services (G26),,0,g,0,0,0,0
Other Capital Outlay  Central Staff Services (G29),Simplification,"Executive and legislative organs, financ",Other Capital Outlay  Central Staff Services (G29),,0,g,0,0.1,1.3,1.4
Other Capital Outlay  General Public Building (G31),Simplification,"Executive and legislative organs, financ",Other Capital Outlay  General Public Building (G31),,0,g,0,0.1,0.9,1
Mineral Leasing and Associated Payments,Simplification,General services,General purpose fiscal assistance (806),Mineral Leasing and Associated Payments,2.144,b,,,,2.144
"Payments to the United States Territories, Fiscal Assistance",Simplification,General services,General purpose fiscal assistance (806),"Payments to the United States Territories, Fiscal Assistance",0.248,b,,,,0.248
Payments to States in Lieu of Coal Fee Receipts,Simplification,General services,General purpose fiscal assistance (806),Payments to States in Lieu of Coal Fee Receipts,0.12,b,,,,0.12
Payments in Lieu of Taxes,Simplification,General services,General purpose fiscal assistance (806),Payments in Lieu of Taxes,0.398,b,,,,0.398
Internal Revenue Collections for Puerto Rico,Simplification,General services,General purpose fiscal assistance (806),Internal Revenue Collections for Puerto Rico,0.466,b,,,,0.466
"Build America Bond Payments, Recovery Act",Simplification,General services,General purpose fiscal assistance (806),"Build America Bond Payments, Recovery Act",3.958,b,,,,3.958
"Refunds, Transfers, and Expenses of Operation, Puerto Rico",Simplification,General services,General purpose fiscal assistance (806),"Refunds, Transfers, and Expenses of Operation, Puerto Rico",0.098,b,,,,0.098
Federal Payment to the District of Columbia Courts,Simplification,General services,General purpose fiscal assistance (806),Federal Payment to the District of Columbia Courts,0.245,b,,,,0.245
Defender Services in District of Columbia Courts,Simplification,General services,General purpose fiscal assistance (806),Defender Services in District of Columbia Courts,0.06,b,,,,0.06
Forest Service Permanent Appropriations,Simplification,General services,General purpose fiscal assistance (806),Forest Service Permanent Appropriations,0.126,b,,,,0.126
Forest Service Permanent Appropriations,Simplification,General services,General purpose fiscal assistance (806),Forest Service Permanent Appropriations,0.224,b,,,,0.224
Social Security Integrity and Debt Reduction (807),Simplification,General services,Social Security Integrity and Debt Reduction (807),,0,,0,0,0,0
Assistance to Territories,Simplification,General services,Other Simplification (808),Assistance to Territories,0.07,b,,,,0.07
Compact of Free Association,Simplification,General services,Other Simplification (808),Compact of Free Association,0.256,b,,,,0.256
Federal Trust Programs,Simplification,General services,Other Simplification (808),Federal Trust Programs,0.147,b,,,,0.147
"Claims, Judgments, and Relief Acts",Simplification,General services,Other Simplification (808),"Claims, Judgments, and Relief Acts",0.816,b,,,,0.816
Government Printing Office Revolving Fund,Simplification,General services,Other Simplification (808),Government Printing Office Revolving Fund,0.182,b,,,,0.182
Salaries and Expenses,Simplification,General services,Other Simplification (808),Salaries and Expenses,0.071,b,,,,0.071
Federal Intergovernmental  General Local Government Support (B30),Simplification,General services,Federal Intergovernmental  General Local Government Support (B30),,0,g,0.8,0,0,0.8
Space Operations,Reading Story Problems,Basic research,"Space flight, research, and supporting activities (252)",Space Operations,4.271,b,,,,4.271
Science,Reading Story Problems,Basic research,"Space flight, research, and supporting activities (252)",Science,5,b,,,,5
Cross Agency Support,Reading Story Problems,Basic research,"Space flight, research, and supporting activities (252)",Cross Agency Support,2.921,b,,,,2.921
Exploration,Reading Story Problems,Basic research,"Space flight, research, and supporting activities (252)",Exploration,3.859,b,,,,3.859
Order of Operations,Reading Story Problems,Basic research,"Space flight, research, and supporting activities (252)",Order of Operations,0.173,b,,,,0.173
"Construction, Environmental Compliance, and Remediation",Reading Story Problems,Basic research,"Space flight, research, and supporting activities (252)","Construction, Environmental Compliance, and Remediation",0.545,b,,,,0.545
Space Technology,Reading Story Problems,Basic research,"Space flight, research, and supporting activities (252)",Space Technology,0.519,b,,,,0.519
Deposit Insurance Fund,Reading Story Problems,"General economic, commercial and labour ",Deposit insurance (373),Deposit Insurance Fund,17.093,b,,,,17.093
Orderly Liquidation Fund,Reading Story Problems,"General economic, commercial and labour ",Deposit insurance (373),Orderly Liquidation Fund,1.515,b,,,,1.515
Credit Union Share Insurance Fund,Reading Story Problems,"General economic, commercial and labour ",Deposit insurance (373),Credit Union Share Insurance Fund,0.139,b,,,,0.139
Central Liquidity Facility,Reading Story Problems,"General economic, commercial and labour ",Deposit insurance (373),Central Liquidity Facility,0.11,b,,,,0.11
Temporary Corporate Credit Union Stabilization Fund,Reading Story Problems,"General economic, commercial and labour ",Deposit insurance (373),Temporary Corporate Credit Union Stabilization Fund,0.755,b,,,,0.755
"Surveys, Investigations, and Research",Reading Story Problems,"Agriculture, forestry, fishing and hunti",Other natural resources (306),"Surveys, Investigations, and Research",1.141,b,,,,1.141
Coastal Impact Assistance,Reading Story Problems,"Agriculture, forestry, fishing and hunti",Other natural resources (306),Coastal Impact Assistance,0.092,b,,,,0.092
Salaries and Expenses,Reading Story Problems,"Agriculture, forestry, fishing and hunti",Other natural resources (306),Salaries and Expenses,0.268,b,,,,0.268
Salaries and Expenses,Reading Story Problems,"Agriculture, forestry, fishing and hunti",Other natural resources (306),Salaries and Expenses,0.065,b,,,,0.065
Working Capital Fund,Reading Story Problems,"Agriculture, forestry, fishing and hunti",Other natural resources (306),Working Capital Fund,0.102,b,,,,0.102
Interior Franchise Fund,Reading Story Problems,"Agriculture, forestry, fishing and hunti",Other natural resources (306),Interior Franchise Fund,0.388,b,,,,0.388
"Operations, Research, and Facilities",Reading Story Problems,"Agriculture, forestry, fishing and hunti",Other natural resources (306),"Operations, Research, and Facilities",0.105,b,,,,0.105
"Operations, Research, and Facilities",Reading Story Problems,"Agriculture, forestry, fishing and hunti",Other natural resources (306),"Operations, Research, and Facilities",3.12,b,,,,3.12
Pacific Coastal Salmon Recovery,Reading Story Problems,"Agriculture, forestry, fishing and hunti",Other natural resources (306),Pacific Coastal Salmon Recovery,0.076,b,,,,0.076
"Procurement, Acquisition and Construction",Reading Story Problems,"Agriculture, forestry, fishing and hunti",Other natural resources (306),"Procurement, Acquisition and Construction",1.715,b,,,,1.715
Farm Credit System Insurance Fund,Reading Story Problems,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Farm Credit System Insurance Fund,0.153,b,,,,0.153
Administrative and Operating Expenses,Reading Story Problems,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Administrative and Operating Expenses,0.075,b,,,,0.075
Federal Crop Insurance Corporation Fund,Reading Story Problems,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Federal Crop Insurance Corporation Fund,0.075,b,,,,0.075
Federal Crop Insurance Corporation Fund,Reading Story Problems,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Federal Crop Insurance Corporation Fund,9.162,b,,,,9.162
Agricultural Credit Insurance Fund Program Account,Reading Story Problems,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Agricultural Credit Insurance Fund Program Account,0.415,b,,,,0.415
Discrimination Claims Settlement,Reading Story Problems,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Discrimination Claims Settlement,1.15,b,,,,1.15
Agricultural Credit Insurance Fund Liquidating Account,Reading Story Problems,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Agricultural Credit Insurance Fund Liquidating Account,0.163,b,,,,0.163
Commodity Credit Corporation Fund,Reading Story Problems,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Commodity Credit Corporation Fund,6.522,b,,,,6.522
Agricultural Disaster Relief Fund,Reading Story Problems,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Agricultural Disaster Relief Fund,1.395,b,,,,1.395
Salaries and Expenses,Reading Story Problems,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Salaries and Expenses,1.207,b,,,,1.207
Tobacco Trust Fund,Reading Story Problems,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Tobacco Trust Fund,0.96,b,,,,0.96
Departmental Administration,Reading Story Problems,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Departmental Administration,0.082,b,,,,0.082
"Deposits of Fees, Inspection and Grading of Farm Products, AMS",Reading Story Problems,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),"Deposits of Fees, Inspection and Grading of Farm Products, AMS",0.151,b,,,,0.151
Economic Research Service,Reading Story Problems,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Economic Research Service,0.086,b,,,,0.086
National Agricultural Statistics Service,Reading Story Problems,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),National Agricultural Statistics Service,0.178,b,,,,0.178
Salaries and Expenses,Reading Story Problems,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Salaries and Expenses,1.135,b,,,,1.135
Research and Order of Operations Activities,Reading Story Problems,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Research and Order of Operations Activities,0.337,b,,,,0.337
Research and Order of Operations Activities,Reading Story Problems,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Research and Order of Operations Activities,0.478,b,,,,0.478
Integrated Activities,Reading Story Problems,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Integrated Activities,0.083,b,,,,0.083
Extension Activities,Reading Story Problems,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Extension Activities,0.613,b,,,,0.613
Extension Activities,Reading Story Problems,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Extension Activities,0.095,b,,,,0.095
Salaries and Expenses,Reading Story Problems,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Salaries and Expenses,0.857,b,,,,0.857
